Name,Rating,Review,Comment
Prince Singh,5,Wonderful,Good 👍
Newton Laishram,4,Good choice,This is one of the best quality products in this price range
Deependra Jaiswal,5,Just wow!,Ok ok
Rishitha Chandru,1,Horrible,Waste of cost don't buy this product it only working for a week then it simply spoiled.
Flipkart Customer,4,Nice product,Good product
SUMIT SAGAR Customer,3,Nice,Good
Flipkart Customer,4,Pretty good,All good but at hight volume the sound goes outside
Flipkart Customer,4,Wonderful,"Value for money, everything is ok. But, the negative point is while walking it's not hearing property struggleing in between times.."
Babusona  Das,5,Brilliant,Good
Khushi Ray,4,Wonderful,Working good
Vaishnavi Gautam,4,Nice product,Nice 👍
Aryan  Navik ,5,Best in the market!,Lovely music Party
Mohd azhar Siddiqui,2,Moderate,Sound quality is very bad and Bluetooth connectivity is very low
Banty Ghosh,4,Very Good,"Product is too good for music, videos battery backup is also good. But it is not for gaming🎮. If you want gaming headphone, so don't buy it."
Arfaz  Alam,5,Classy product,Good sound quality
Flipkart Customer,4,Pretty good,This product 👌 nice fast time experience is best..
Santosh Kumar P ,2,Could be way better,Sound quality not good
Flipkart Customer,1,Unsatisfactory,Not working
Flipkart Customer,3,Just okay,Very nice product. Like It
Flipkart Customer,5,Brilliant,Very good product .....you can go for it.
Flipkart Customer,5,Fabulous!,Best product in noise ❤️ Best sound quality Best battery backup
Ankush Aryan,5,Just wow!,Nice 👍
Flipkart Customer,5,Best in the market!,In low price this product is very good.
Tapan Pradhan,4,Good quality product,Its a good product and build quality is also very good.
Shashidhar  Reddy,4,Value-for-money,You can just go for it if it is under 1000 I got it for 899 value for money if it is over 1000 you can take it in option that's your wish
Flipkart Customer,4,Very Good,Avarage product
Lalit  Bankar,4,Wonderful,Overall great design and sound is great
Flipkart Customer,1,Horrible,I bought this product and used only 15 days after 15 days its Bluetooth is not connected
Anita Anita,4,Pretty good,Excellent
Flipkart Customer,5,Simply awesome,It's good product sound is really good
Akhil Das Paul ,5,Best in the market!,Super
Bishal das,5,Best in the market!,Good product ... Specially sound quality just woow
Aish,5,Great product,Amazing experience
Parvez Shaikh,1,Very poor,Its connecting or range quality is very poor
Flipkart Customer,5,Fabulous!,Nice
Sheri Shiva,4,Very Good,Product is good but the ears are painfull but product is good and  nice one
Flipkart Customer,5,Perfect product!,WORLD BEST BUDS UNDER 1000😍I LOVE IT 💕
Flipkart Customer,5,Wonderful,Worth of if u have go the next
Flipkart Customer,5,Terrific,Good
Flipkart Customer,5,Best in the market!,It's an awesome product.
Raja ingale,5,Best in the market!,Very very nice thanks Flipkart and noise also
Kumar swsmy Swamy,3,Fair,Normal bul good product
Flipkart Customer,5,Worth every penny,Worth evry penny
Flipkart Customer,4,Value-for-money,good
Parvathi  Mohana kumar ,5,Fabulous!,good
Satpal Singh,5,Terrific purchase,Very good
Susmita Behera,5,Brilliant,It's awesome 🥳🎊🎉
Aparna Customer,4,Wonderful,Perfect product...just awesome 👌
Sharoon glad stone Bezeleelsharoon,5,Worth every penny,Good product I like it super sound
Soni Raj,5,Awesome,Super
Nilesh Sharma,5,Terrific,Nice product
Flipkart Customer,5,Terrific,Nice
Mahin Noushad,3,Fair,Totally it's ok but sound quality is tooo low
Rohit Ahirwar,5,Mind-blowing purchase,Battery capacity long time
Hariharan Babu,5,Terrific purchase,It's very nice for the cost
Prince  Prasad,5,Just wow!,Best product sound mast
SATISH GUTAL,5,Excellent,Nice Product ❤enjoy
Priyanshu Kumar,5,Highly recommended,Values of money
Kotakonda Dasharath,5,Wonderful,Good
Abdul Rashid,3,Just okay,Value for money when compared to overpriced brand's
Dipak  Jaiswal ,5,Best in the market!,It's great product I really love it thanks Flipkart for delivery
Saransh Shukla ,5,Excellent,Great feeling to use
Nandkishor Prajapati,5,Terrific,Sound quality is superb. Voice calling is also good. Worth buying.
Flipkart Customer,5,Excellent,Nice prodakt
Flipkart Amitabh Tiwari ,3,Fair,Ok ok type
Sumit  Kumar,1,Worst experience ever!,One ear bud stopped working in 6 months. And the customer care number  is invalid
MANPREET SINGH,5,Highly recommended,Good quilty
Siba Baidya,1,Worst experience ever!,Earbuds 💔After 4 day use
P J Hemanth  Reddy,5,Terrific purchase,Good product
Jegan Mohana,4,Nice product,Nice
Jeevan kumar Gagguri,3,Just okay,Just ok
Flipkart Customer,5,Best in the market!,Quality is good
Flipkart Customer,5,Best in the market!,Good
Vairava  Abieee,5,Classy product,good
Mani Mayan,4,Wonderful,super i loved it.
Flipkart Customer,5,Brilliant,Nice
Rajesh,5,Fabulous!,Super
gokul,1,Worst experience ever!,Headphone one side no charging only three
Flipkart Customer,4,Good quality product,Nice
Flipkart Customer,5,Just wow!,Best birds
Flipkart Customer,5,Brilliant,It is good. It is good at this price range
Flipkart Customer,5,Highly recommended,Sound quality is awesome 👍👌👌
Ankit Agnihotri,5,Wonderful,Good
Kushal  Jain ,3,Decent product,Charging pin not working
Flipkart Customer,3,Nice,It's not good when speak to someone. The word has not clear when talking. It avarage.😏😏😏
Sayali Raikar,5,Terrific,Very Nice Quality👌Like It👍Thanks Fipkart ❤
Syed  Arif,4,Delightful,It's Amazing 👍 Noise ......
Anoop Kumar Singh Singh,5,Does the job,Good product
Satyawati Kumari,4,Pretty good,I like this product it's good and sound quality is good
Ash  Pandey,4,Worth the money,Product is best and it's all thing is good
Flipkart Customer,5,Best in the market!,awesome product  Genuine cheese
Flipkart Customer,3,Fair,"Writing this review after using the product for 4 months. The bass is good, even though it very bad scattering in bass. Then lows are not heard well, and the biggest issue is frequent disconnection (especially while using in laptop). Its better to gather up some more money and go for better tws"
Phanindra  Reddy M,5,Mind-blowing purchase,Good nice
Hiren prajapati,4,Wonderful,Over all good product
Flipkart Customer,5,Excellent,Nice one ☺️👍
Flipkart Customer,4,Value-for-money,Good but some lacuna are their but it is good
Flipkart Customer,5,Fair,Very nice sound
RAJESH  KUMAR ,5,Highly recommended,Nice
Flipkart Customer,4,Pretty good,Gd product 😍
Kanchan kumar  Mandal ,1,Worst experience ever!,Very bad
Flipkart Customer,4,Really Nice,Nice
Kvn naidu,2,Moderate,I found an unexpectedly disconnecting  while using laptop or phone. This is frequently happened and also while charging there is no indicator weather it is fully charged or not
Brojokishor  Kanjilal,5,Worth every penny,I'll recommend this earbuds to everyone whoever want to take this for his/her online class or meeting or anything else.It's a budget friendly product. If u have any gift card then u r lucky. U can utilise it.
Flipkart Customer,4,Pretty good,Ok
Flipkart Customer,3,Fair,Very good product sound very nice. I love this product for this range
Durga V,5,Just wow!,Super
S.YUVA RAJ,5,Super!,Supperb 😊
Dharmesh Kumar Ratilal Solanki Solanki,5,Wonderful,Nice product
ABHISHEK KUMAR,3,Just okay,Many time disconnected  while movement of mobile or body.
Yogesh  Patil,5,Excellent,Noise buds Original quality
Rishabh Rathour,5,Awesome,Very good disain and I like noise buds
Sachin narayan dhawale Dhawale,3,Does the job,Walking time sound disconnect problem
Yogeshwar Mistary,5,Wonderful,Nice products sound🔊 Quality goods.
Malay Rudani,5,Highly recommended,This product is very good product.sound will be heavy bass.so such they product are also useable product. this buds battery back up is very long ........
Md Ikhtiyar Alam,5,Classy product,Best product totally value for money but battery not much appreciated to me😐
Manish Kumar,4,Very Good,This product is very good
Flipkart Customer,1,Absolute rubbish!,The worst product I ever used 😡😡😡😡😡
surya prasad  behera,3,Decent product,Nice product
subash  rout,5,Simply awesome,Noise Buds super 👌 very samtheinke
 Ganesh Pande,5,Worth every penny,Product is very nice
Flipkart Customer,2,Expected a better product,Not as good as BOAT or other company and also the sound quality is poor.....
Siva B Siva B,5,Highly recommended,Betterful use
Jagdish Machiwal,5,Awesome,Nice product and good sound
Jahid Jahid,5,Classy product,Nice product
Sristy  Bhattacharjee,4,Really Nice,Very Good product on this price range... Go for it..Sound is clear.. calling is impressive..
Fazil Hassan,5,Just wow!,Very nice. Quality also good. sounds best.
Baby girija S,5,Fabulous!,Awesome
Mo siddik Shaikh,4,Wonderful,Nice airbuds value of money
Layeeque  Ahmed,4,Really Nice,Cool
Flipkart Customer,5,Wonderful,Good working condition 👍👍👍👍
Akshay Chauhan,5,Great product,Your delivery boy is very late delivered in my products So nex time please fast services 🙏 Thank you so much But products is best 👌 nd color is very much like 👍
Rahul Banerjee,4,Good choice,Love it..
Azhar Ali,4,Pretty good,Super 👌👌👌It's amazing
Rahul Banerjee,5,Highly recommended,Very good
Atul  Singh,5,Simply awesome,Awesome 😊
Mohd Abid,5,Brilliant,Nice product u can buy trust me
Fabio  Dev,3,Fair,Good product value for money
Basith Khan,1,Hated it!,Very worst quality charging port was worst
Ritwik  Chowdhury,4,Good choice,Nice product thanks Flipkart 💘
Pankaj Rautela,5,Terrific,Nice product
Flipkart Customer,2,Moderate,Mic is really bad.
Flipkart Customer,5,Mind-blowing purchase,Nyc product
Sourab  Sharma,1,Useless product,Not good
Aresu Dora,5,Awesome,Very good
Flipkart Customer,3,Just okay,Not worth for that price
Bipendra  Kumar,4,Value-for-money,This earbuds is superb.. Sound quality is very good and battery backup is good
Viraj  Sonsurkar,5,Perfect product!,Nic product
Vinod  Kumar,4,Delightful,Great in this price range!
Abdul Quadir,4,Good choice,Super good voice with calling and also good work for music
Sumanta Handa,3,Nice,"Style osam good,A little more sound would have been better💓"
Huzaifa Khan,1,Horrible,Battery backup is very losss.😡🤬
Flipkart Customer,5,Super!,Good quality 💯
Flipkart Customer,1,Hated it!,All Good but Not Comfortable
Flipkart Customer,4,Delightful,Nice product . Perfect with this price
Flipkart Customer,4,Nice product,Ok
Megha Bhaisare ,5,Terrific purchase,Amazing
Flipkart Customer,4,Pretty good,Sound very good 👍 very comfortable in ear and......☺️
NAMIT KUMAR,4,Worth the money,Product is good any easy to use
Vicky Kumar,5,Highly recommended,Nice
Niraj  Kumar ,4,Really Nice,Sound quality is very good 😘 Calling quality is good ☺️   Battery backup good ☺️     Value for money 💰
Flipkart Customer,2,Not good,"1 Noise buds stop changing after 1 month use, please return my money"
Flipkart Customer,5,Great product,"Excellent Product. Worth for money,"
Flipkart Customer,3,Decent product,Connectivity problem with Android phone
Rana Das,5,Brilliant,It's Good product for noise.
Flipkart Customer,5,Great product,Nic
VINOD  SB,3,Just okay,Good 🥴
Vikas B,3,Nice,It was nice but not worth for money
Flipkart Customer,5,Classy product,Earbuds are very nice 👍
Ramya S,4,Pretty good,Super sound
Flipkart Customer,1,Waste of money!,Rage is very low
Flipkart Customer,3,Does the job,Feel good in the beginning .. but  not properly fit in the ears ... often it slips  .  this inconvenience makes us stress...
Kartikey Pushpker,5,Super!,Good product....
Ayan  Quraishi ,4,Pretty good,Nice product according to rate !
Baipa Pandu,5,Perfect product!,Super
Eswar Simma,3,Fair,Good
Prince Philip,5,Excellent,Use 4 month after review. Good product.Good sound quality.Good battery backup
Flipkart Customer,5,Best in the market!,Not bad
Flipkart Customer,1,Waste of money!,Don't buy this product!
Chityala  Praveen ,5,Fabulous!,Good bulid qulity sound is MORVOLES ✨
Flipkart Customer,5,Wonderful,Noise Ear buts supper sound betrry backup nice
Flipkart Customer,5,Excellent,Best of the best....
Flipkart Customer,5,Terrific purchase,Super
Flipkart Customer,5,Simply awesome,The Noise company all time best 😊👍
SODHA Dharmendrasinh SODHA Dharmendrasinh,1,Absolute rubbish!,Bad
Flipkart Customer,5,Fabulous!,"Starting days This product was really awesome I was very much satisfied with the product but after sometime... the box strted making noise connection problem facing... nd i won't suggest to buy these... I'll suggest Everyone If u wanna buy. TWS then please go with The premium ones Of realme, oppo nd boat ... because They have a better quality and reliable. Save ur money for now and buy a good one"
Boda Vinod,5,Awesome,Good
Chetan Naik,1,Utterly Disappointed,.it is money waste product
MR 05 Anil kumar,5,Fabulous!,thanks
Flipkart Customer,5,Just wow!,Nice sound
SYAM. P,3,Good,It's ok
Sk. Rubel,5,Worth every penny,Very nice
Hirok Sk,1,Utterly Disappointed,Battery backup is aweosome but when you are talking others sound can not reached to your ear
Flipkart Customer,5,Terrific purchase,Very good product..
Solanki Ganpat Kumar Ganpat.A,5,Awesome,Super enjoying thanks for Flipkart 😊
Ganesh  Kalisetti,4,Good choice,Nice product
Flipkart Customer,1,Did not meet expectations,"The left ear piece is still not working and i am not getting any return option, this is absolutely waste of money"
Aniket  Latkar ,5,Brilliant,Very nice productNice lookBattery backup is good
Rimjhim Rai,5,Fabulous!,"This product is amazing, it's like you hit a jackpot The sound quality is 10/10The bass is 10/10 The battery 10/10The design 10/10 And the features were amazing, do go for it, don't hesitate."
HARISH KUMAR,2,Not good,My noise buds vs102 was not working properly my recipient can't hear me properly my voice is not audible to the recipient exactly... It's really poor buds...
Flipkart Customer,5,Fabulous!,Value for money
Flipkart Customer,5,Terrific purchase,Best Ever
Shinaz Rk,2,Expected a better product,Noise clearence is very poor
Nishad Siddick,5,Just wow!,God
Kapil  Sharma,5,Super!,Nyc product
Dipen Darji,5,Perfect product!,Nice
Sushma  Tiwari ,4,Good choice,Nice product
Flipkart Customer,1,Utterly Disappointed,Waste of money not working
Flipkart Customer,4,Pretty good,Nice product and battery is very superb
Trinabrata Das,3,Decent product,Everything is great except the quality of calls received and the sensitivity and functionality of the voice assistance feature
Bandi venubabu,5,Brilliant,Nice
Amit Jayswal,5,Mind-blowing purchase,Good
ShuBham  Kumar,3,Fair,Not a very good bass
Muhammad  Ajmal ,5,Super!,This product is good and there sound system also good👍🔥🔥🔥❤️❤️⭐⭐✨✨⭐✨
SAI CHANDU,1,Useless product,Waste...
Qazi Nizamoddin,5,Excellent,Bast of market
Dyaneswar Sai,1,Utterly Disappointed,"Please don't by its built quality is very low, if you drop it will break and you got to fix it each time. The plastic is not good and the fit and finish"
Vigneshwaran J,4,Worth the money,Good
Shivansh Tiwari,1,Great product,Nice product value of money must buy
Flipkart Customer,5,Terrific purchase,Good
Flipkart Customer,5,Simply awesome,Excellent
Manish singh,5,Classy product,I have no word to explain about it's sound quality
Arindam Saha,5,Fabulous!,This product is very nice sound and bass good I requment all people purchase noise product it's really awesome Thanks you noise and thank you Flipkart..
Ankit Sharma,1,Horrible,Not good
Flipkart Customer,5,Great product,Good product
raj kamal Meena,5,Awesome,"Very nice product,, sound quality is best , charging best ,,, wonderful product"
Venky  K,5,Just wow!,It's fantastic pods and sound quality extremely beautiful the design is extraordinary osmmm❤️❤️
Ajaru Deen,5,Just wow!,This is the best product noise buds vs102 with 14 hoursSound quality is very nice 👍👍💯💯
RAJ PARSEKAR,5,Super!,Top
Shivhari Prajapati,5,Mind-blowing purchase,"Very nice product.cristal sound quality,and good bass."
Flipkart Customer,2,Could be way better,After using for 1 hour ear starts paining.Morever touch control is too sensitive..
Subrat Kandi,5,Great product,Verry good product
Dev Verma  De verma,4,Good choice,good product 👌👌👌
Vandana Maurya,5,Must buy!,V good
Anas KHAN,5,Fabulous!,Osm product
Jiaul Karim  Khan,5,Excellent,Beautiful 😘
Vaibhav  Kere,5,Terrific purchase,Nice
Mani Prince,4,Really Nice,Nice product
Flipkart Customer,5,Mind-blowing purchase,GOOD
Bharti  Muneshwar,1,Don't waste your money,Battery backup is not good....
Flipkart Customer,3,Just okay,Good
Flipkart Customer,5,Terrible product,Not good
Shivakant  Pal,5,Classy product,nyc
sridharan krishnan,5,Simply awesome,it's  fantastic . clear sound  . the flybird design is also very attractive.  charging is superb with type C.it really works well . value for money.
Kailash Sharma,5,Excellent,Osm base quality
Flipkart Customer,3,Fair,Noice cancellation is not good when we in call outer traffic sounds are heavy
Sage Sinha,1,Don't waste your money,Not valuable for money
Paramita Nayek,4,Nice product,Good product
Anshul  Patel,3,Decent product,Good product
Surabhi  Panigrahy ,3,Just okay,Not so good...  Calling quality is not so good
Ganga Rituraj,5,Perfect product!,Good
Flipkart Customer,1,Very poor,Damaged product
Flipkart Customer,4,Pretty good,Nice
Flipkart Customer,5,Wonderful,Superb
Mdsarfraj Khan,5,Worth every penny,Superb
Flipkart Customer,1,Unsatisfactory,Bad product
Flipkart Customer,3,Nice,Bulky items create ear pain
Flipkart Customer,5,Super!,Good
Flipkart Customer,2,Could be way better,Worest produckNot workingNot signal
Flipkart Customer,1,Useless product,I used 2month this earbuds..one side bud
Rameshpappu Ramesh,5,Terrific purchase,Very nice 👍👍👍👍👍👌👌👌👌👌👌
Hanamantaraya  Galer,5,Worth every penny,I love this buds sound
Susmita Biswal,4,Value-for-money,Not bad
Flipkart Customer,4,Delightful,Nice procted money save
Flipkart Customer,4,Wonderful,Good product
Flipkart Customer,5,Excellent,Superb
Flipkart Customer,5,Great product,Such a lovely 😍 product
Randhir kumar Tthakur,5,Simply awesome,Happy
Shubham Bijapure,5,Must buy!,This product is too good... 🙌🙌
Flipkart Customer,5,Highly recommended,Good product
Aditya Gazipuri,5,Best in the market!,Awesome product and flexible ❣️👍I like it ❣️👍
Flipkart Customer,5,Highly recommended,I like it
Manish  Kumar,5,Terrific,Sound quality excellent
Gulam  Mohammad,4,Nice product,Improve in sound quality
Flipkart Customer,1,Absolute rubbish!,"Voice is not clear while speaking on call,and left ear bud is not working"
Deep Nandi,5,Fabulous!,Product is very good 😊
Sweta Singh,5,Excellent,Very good quality 😊
Srikanta Jena,4,Good quality product,Nice product 👍👍
Mahantesh,5,Best in the market!,Super buds
Aayush Thakur,5,Best in the market!,Very Nice Voice And Bulid Quality
Flipkart Customer,5,Classy product,Nice product  iam happy
Flipkart Customer,1,Not recommended at all,It is worest product don't buy this
Jenish Patel,5,Awesome,Great 👍
Flipkart Customer,4,Pretty good,Very stylish and sound quality is very clear. Must buy
Flipkart Customer,5,Brilliant,Good
RAJ PARSEKAR,5,Great product,Loved it
Sourav  Poramanick,5,Wonderful,Separb sound quality
Raj Bhargav ,4,Worth the money,Acha hay I think you should buy it in this range best hay
Chandra kanta  Mondal,4,Worth the money,Good product.
Flipkart Customer,3,Decent product,Good
Aryan Kumar,4,Value-for-money,Good product 👍
Flipkart Customer,2,Bad quality,Totally waste of money.
Shrinivas Dalbanjan ,5,Highly recommended,Nise product worth of money
SultAn Sheikh,4,Very Good,Nice
Ramu Mahato ,1,Worthless,Mike not clear
Tharun kumar Kambala,5,Fabulous!,"Iam writing this review after use of 2 week'sPros:1. Bass is osm,Even high bass sound quality is good2.especially touch controls are working very fine.Cons: 1. Battery little bit improvement required2. I don't know why it's automatically disconnected sometimes, but doesn't pair again, noise can trauble shoot in this issue.3. Even small movement in cell phone blutooth stops. If you listen any songs it's interrupted. Finally iam giving 3.5 / 5 rating,8n this price ( rs: 900) sigment it'..."
Pramod kumar  singh,5,Terrific purchase,Overall it is a good product...
Ramjee,5,Just wow!,Good product
Flipkart Customer,4,Wonderful,"I have been using this product from last month i am not getting any complaint on that, an i quite impressed"
Noureez Nouri,5,Excellent,It's really nice product good sound quality totaly 👍
Lokeshwaran  Ramanathn,1,Useless product,Not connecting dont buy this product. didnt work within 5 days after purchase. Total money waste.
Naushad ANSARI,5,Wonderful,I m heppy
Nitin Dongre,5,Awesome,Awesome
 Mastan Rao Putti,5,Awesome,Excellent
Adam Ahamed  Jabeer,5,Just wow!,vwry gud prdct worth 4 money.. 💞🥰
Flipkart Customer,1,Useless product,It's too worst Bluetooth is connecting very fastly but music is not playing invoice calls calls also not hearing to worst this.
Flipkart Customer,5,Brilliant,Nice product worth of money 👍
Sanjay pratap  Singh,5,Great product,Good product
DEBASHISH  CHOWDHURY ,5,Excellent,This product is good but range is not so better. So please rectify the range of product.
Jatin Gupta,4,Worth the money,Good product 👍
Harikesh Kumar pandey,5,Excellent,Nice
Dinakaran U,5,Terrific,Thanks to flipkart for this product suggest
Roja Goud,5,Mind-blowing purchase,Good
Mikun garala Garala,5,Simply awesome,Good
Gopal Swain,5,Mind-blowing purchase,Oooosm
Uttam  Shekhar ,4,Value-for-money,I used since 2 week and it feels  good
vamshi krishna,3,Does the job,Worth of price
Ajitesh Kasaudhan,4,Really Nice,Nice product....... noise
Flipkart Customer,5,Great product,Awesome product🔥✨✌️really worth this price🔥✨thank you flipkart✌️❤️
Flipkart Customer,5,Wonderful,This buds has really a good bass and sound is good value for money
Avinash Raj,5,Fabulous!,It was awesome product for me
Flipkart Customer,5,Just wow!,"I am very interested ,It's good product and I love the sound quality and it makes me forget everything around me with the sound since I listen to music every morning I go to university for class.Helpful"
Gitanjali Patil,4,Value-for-money,Ok
Flipkart Customer,5,Simply awesome,All good
Bishnupada Sahoo,4,Good quality product,Very Good
Anurag  Shukla,5,Simply awesome,"Everything is good, but charging case is extremely loose."
Abhishek Singh,5,Perfect product!,Always he is the best product
John,3,Decent product,"Everything was going good. Sound n bass are decent. But I don't know why, this bud automatically disconnects. This happens often to me😖"
dharabindu singha,5,Classy product,Wonderful
RAJU  LAL ,4,Wonderful,Exillant
Flipkart Customer,5,Brilliant,Super 👌
Mazhar Shaikh,2,Moderate,On call Voice Cancelled at Outdoor & Indoor is very poor
Rupinder  Kaur ,4,Value-for-money,We can't talk on phone calls bcoz they can automatically disconnected and we can't hear the voice properly on calls otherwise sound quality is good
Flipkart Customer,1,Unsatisfactory,It's worst product for charge problem
Harshit  Sharma,5,Super!,Nice product
Flipkart Customer,5,Classy product,Very nice
Flipkart Customer,5,Just wow!,Excellent sound
Shrivatsa,4,Good choice,Good product
Nandu Patil,5,Terrific purchase,Supar prodact
Flipkart Customer,5,Excellent,Good Quality Sound And Long Time Backup
Flipkart Customer,5,Worth every penny,Very nice product 😊
Flipkart Customer,1,Not recommended at all,After 8 days the touch of my airbuds is not working...
Jitendra... Chauhan.,5,Mind-blowing purchase,Am happy
Srinu  G,4,Pretty good,Nice
Garima Rawat,5,Great product,Nice i loved it
Devarla  kannaiah,5,Excellent,Good quality
Flipkart Customer,4,Delightful,Nice product
vignesh waran,3,Good,Strictly not for calls. Ok to hear songs under 80% of Max volume
Flipkart Customer,5,Wonderful,Very nice 👍
Akash  Palai,3,Good,Nice
Malar Mathi,3,Decent product,sound quality is good but the comfort is not very good
Vishesh Kumar,4,Good quality product,sound quality is superb 😍battery backup is also good 😌look and build quality is excellent...thanks flipkart...❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
Flipkart Customer,5,Terrific purchase,Nice product 👍
Raheem basha,5,Brilliant,Super product
Raheem basha,5,Best in the market!,Very good
Dipankar  Kumar,5,Fabulous!,Wow
Sharath Bharadwaj,5,Great product,Good
Ritesh  Sahu,4,Good choice,Nice product
ADITYA SUKOSHI,1,Did not meet expectations,Full disturbance while talking on phone callBad product
Bhupinder Sharma,5,Fabulous!,Good quality and fast service i like it
Flipkart Customer,5,Worth every penny,Nice product
Flipkart Customer,5,Does the job,Good product
Flipkart Customer,5,Perfect product!,Very nice product 😀
Bala Krishna,5,Great product,Iam write the review I used after one week                         exlent battery back up and cinnecting. Reasonable price compare with local market. Fast delivery. Thank you FLIPCART 👍👍👍👍👍👍👍👍
Flipkart Customer,1,Not recommended at all,Very bad for battery backup
Flipkart Customer,5,Best in the market!,Perfect deal
Flipkart Customer,5,Worth every penny,Product is fabulous sound quality is mind blowing
Siva,5,Must buy!,Excellent 👌 very nice 🙂
Flipkart Customer,1,Did not meet expectations,Very bad
kundan singh,5,Super!,Nice 👍🙂🙂🙂
SHUBHAM SHUKLA,2,Slightly disappointed,Product quality good what sound coming out
Flipkart Customer,5,Terrific purchase,Good
Pijush  Mondal,3,Fair,Joint connect program
Panditi Vijay,3,Just okay,Sound  quality and noise cancellation is bad
Prakash Jaya,4,Worth the money,Good
Loknath Das,5,Super!,👍 good
Flipkart Customer,5,Highly recommended,Value for money
Flipkart Customer,4,Fair,"Having issues while calling , it's not noise cancelling so that's why I guess other than that it's a value for money ."
Yash Sharma,5,Must buy!,Nice Sound Quality and very good product
Vijay Babu,5,Fabulous!,Very nice product
Flipkart Customer,4,Wonderful,Good product but battery is something week then expectations
Samay singh gurjar,5,Best in the market!,Best
Rudrani Meher,4,Wonderful,Ok
Flipkart Customer,5,Terrific,Good
Mahamad Afrid,5,Just wow!,Super sound quality and design
Flipkart Customer,5,Best in the market!,I am using 1 month good experience
Sarfaraz Ali khan,4,Nice product,nice
Sana Imran,5,Must buy!,Good
Flipkart Customer,5,Mind-blowing purchase,Sound quality is very excellent ❤️🫡❤️
Poornima  Doddmane,5,Excellent,Nice one worth for money
Flipkart Customer,5,Worth every penny,Very very best product in business purus and gaming best risponse
Arun Pandian,5,Highly recommended,Nice product
Sandeep Raman,3,Does the job,So so...not noise cancellation
Sujay gawas,5,Simply awesome,Ok I'm using it from last year (13/1/2022) and it's good I will tell you too buy this
Flipkart Customer,5,Must buy!,Nice
Flipkart Customer,5,Perfect product!,Very good product😎 you can buy it nice and good looking 😘
Akhil Akky,2,Slightly disappointed,Sound is not good
Akanksha Dhurve,5,Simply awesome,"Really loved it, the colour Celeste blue is soo beautiful 😍😍"
Anshudeep Hait,4,Good choice,Good
Ankana Mondal,1,Useless product,This is the worst I have received...ever!!!!! ...it is not even 3 months and it's already not working (both)😡😡😡😡
Flipkart Customer,4,Delightful,Very nice 👍
Soriful  Mallik,5,Classy product,Super sound and bass quality.
Flipkart Customer,3,Decent product,Bass Lovers Don't buy this
Deepak Jena,5,Worth every penny,Supper product
Flipkart Customer,5,Terrific,Very nice product 👍
Amar panchal Panchal,5,Excellent,Exalent product
Prachi  Sanap,5,Mind-blowing purchase,Good 👍
Flipkart Customer,5,Brilliant,Owsome product
Robin Rajput,3,Just okay,Very short distance connectivityFor calling it is not okFor music good In battery backup is not good 1 time charge approx 3 to 6 hrs onlyDesign is not goodTouch is good Overall average in my opinion
Jibin Mathew,5,Terrific purchase,Nice product 👍
Jibin Mathew,5,Fabulous!,Nice product 😊
vasava nitin,5,Super!,Nice
Naveen  Singh ,5,Great product,Nice
Rahul Choudhary,5,Highly recommended,Nice product
Flipkart Customer,2,Bad quality,They are not working sound problem ...
Gyanendra Singh  Rajput ,1,Horrible,Very bad product
Jagathani bhanu Prakash,5,Simply awesome,Wow thanks to FlipkartAmazing product from noise .I liked it soooo.Design was tooo good 💓💓Sound quality was very clear
Venkatesh  Kaliyaperumal ,1,Hated it!,Base quality Working like a loudspeaker.Not value for money.
Flipkart Customer,5,Terrific,All is good but case quality is very low . i advise to noise please work on case . and do something  best
"Srikanth,S Srikanth ",4,Delightful,"Iam used since 6 to 7 months but still it's ina good condition ,good product I loved it"
Machkuri Sudharshan,5,Mind-blowing purchase,Very nice product
Priyanshu gaur,5,Just wow!,value for money
Flipkart Customer,5,Wonderful,Nice
Altaf Khan,5,Terrific,Nice sound 🤠🤠🤠🤠
Akanksha Pathak,5,Highly recommended,Best quality
Ritam Patel,1,Waste of money!,Very bad quality
Hitesh   Tiwari,5,Classy product,These are the best buds use should try it.It works more than 5 hours 30min.
Shashi Bhushan Ram,5,Brilliant,Best in the market
Shiva Krishna,3,Fair,You can speak the contact call was disconnected continuously
Abdul Ahad,3,Fair,Voice calling is very bad. Anybody calls them not proper work
Harish,3,Just okay,Nice
Ankit Narwal,5,Awesome,Nyc
Flipkart Customer,5,Excellent,I just love it thanks flipkart
Janvi Singh,5,Excellent,Volume too good and awesome
Flipkart Customer,3,Fair,During call sometimes it difficult for listener what im saying and sure there is built-in microphone is both side which doesn't functions properly..during call microphone alwas transfer right left right left it suks
Daniel  Pandu,5,Mind-blowing purchase,Super
Jeevan C,1,Worthless,Waste of money after 2 months Bluetooth not connecting properly
Narender Kumar,5,Best in the market!,Good job
ROHIT DHIBAR,5,Fabulous!,All was good...... But delivery boy behavior was not good.... It's request to flipkart that look into it..
Flipkart Customer,5,Super!,Good
Girish M R  Gowda ,3,Does the job,Very nice
Flipkart Customer,1,Useless product,Sound quality is very bad also the battery backup is very poor... Very bad
Sermaraja Customer,5,Perfect product!,It is budget earbuds but it gives premium feel .It worths moneyThe fitting is perfect It is best earbuds in budget friendly.....
Ranjeet Kumar,5,Best in the market!,Very good product
