Name,Rating,Review,Comment
suman kumar  singh,4,Really Nice,I AM GIVING REVIEW HONESTLY AFTERUSING 4 DAYS- MY REVIEW IS ONLY FOR MUSIC LISTENERS NOT FOR GAMERS1. BUDS SOUND QUALITY IS CRYSTAL CLEARAND VOICE IS TOO CLEAR 2. THE SMALL INSTRUMENTS MUSIC ARELISTENING VERY GOOD.3. DRIVER SIZE IS 11MM BUT BASS QUALITY IS NOT UPTO THE MARK ON SIMPLE MUSIC PLAYERS.4. USE POWERAMP MUSIC PLAYER FORBEST BASS EXPERIENCE. 5. GREAT STEREO EXPERIENCE6. THE BUDS CASE IS VERY GLOSSY AND GETTING SCRATCHES VERY QUICKLY.7. ONLY ONE INDICATOR LIGHT IS PR...
Aniket Raj,3,Does the job,"👍 Good and perfect product for this price . Review after 2 month,it has good sound ..both buds has connect other device easily and connect with another device on  same time.."
Flipkart Customer,5,Just wow!,"It has amazing sound clarity. Perfectly fit in to ears, easy to handle, smooth set up on Apple & Android devices. Charging capacity is good, it sustains for a longer duration and gets charged instantly. Left & Right, both the Buds syncs fast.Using it with Apple devices, bring the best of it. The finger tap feature is also of great help. Switching between Apple Devices is very easy and fast.It detects ear-presence and your device behaves accordingly.Good point, that it can be used anywhere,..."
Mohammed Naved,5,Just wow!,"Sound quality is good moreover voice calling is also available but sometimes it doesn't works properly...overall it's good, as a matter of fact I bought it for 899 and what else you expect in this price range?"
bhakti mandal,3,Just okay,Good but improve the quality of sound and built quality. At this price range boAt is winer because a great level of sound quality.
Flipkart Customer,5,Terrific,I satisfy this frodact sound and clarity comfort too much like this
Abhishek Kannan,5,Worth every penny,"To be honest before i ordered these i had no expectations. But when i got them and on the first try it blew my mind. Seriously it's really good for this amount of price.PROS :-~ good sound~ decent bass~ comfortable fit~ value for moneyCONS:-~ too glossy, gets scratches fast (from my pov)~ only one led indicator on the case."
Litton Behera,5,Simply awesome,"I have been using this ear buds since 9 th January 2023 .its so easy to use and connect with smartphone and the main features about product this is that I must have to is noise cancellation it's amazing, you can believe my experience,that if I will tell you when I  put this on ear the surrounding goes silent no noises are there I totally impressed with this product . obviously i recomment to buy this . it's amazing 😍"
Flipkart Customer,4,Wonderful,"Got it for 799 during big billion days sales. It's definitely worth the amount paid. Coming to sound quality, it lacks that balanced sound output. Bass totally overshadows and miss vocal clarity and high frequency most of the times. Bass heads might like it. Touch controls works well. Call clarity is average. Overall a good deal."
Achint Rout,3,Does the job,I am giving this review after using 1 month. Battery back up is superb of both buds and casing. Sound is good in the price. If you are purchasing for calling purpose only then don't buy. Straight range is good and connectivity but down ward or upward range is very less. But for 1st use you can go for it. Worth of money.
Washim  Sajjad,4,Worth the money,"The functionality is pretty decent. All the specified touch responses are functioning properly. But, one should not except refined sound quality. It has a balance sound quality. I am happy with this headphone."
Sarfraz  Alam,4,Pretty good,Amazing experience with this product.. sound quality uumhhhh😘
chandra pal,5,Just wow!,😍😍😘😘😘❤️❤️❤️love it easy to buy...feeling great after purchase ...Too. Good 😘😘
Dinesh Kumar,4,Nice product,"Fit looks good.Sound quality is just fine.Too many controls on ear buds.Double tap, long tap, triple tap, etc. Too many accidental touches.  No options to disable them.Case build is also average.Value for money is good"
Mohammad Afroz ,4,Good quality product,Value for money
Flipkart Customer,5,Best in the market!,Nice product 😊
Asif Aslam,5,Terrific,Genuine sound nd bass I like it very impressive
Hyder Ali,5,Wonderful,Worth buying 👌
Flipkart Customer,5,Terrific,Really love it ❣️
Ankita Halder,5,Fabulous!,Excellent there is nothing to speak about it....just amazing...thank you Flipkart ❤❤
roshan tiwari,3,Good,I don't know why but as i keep my phone in  pocket the voice and music starts breaking... please let me know what to do
Singh Paichha,4,Worth the money,Good product thank you Flipkart 👍
Divyang Chaudhary,1,Absolute rubbish!,"Bloototh connectivity is worst ,automatic sound cut sometimes."
Ragunathan G,5,Terrific,Nice product..Worth for buying value for moneySound Effect also super performance..
Ricky Singh,4,Wonderful,Awesome 👌  buds...
Flipkart Customer,4,Value-for-money,Superb quality in this price range
Sudarsan  Nayak,5,Must buy!,Very nice👍
Raviprakash Mishra,1,Worst experience ever!,"Bought just 15 days earlier, right side bud stopped working. Hardly used 7-8 days. Very dissatisfied with Noise product."
Jahed Hussain,1,Not recommended at all,Left side after 10 day not working
Vikas V s,5,Must buy!,Very nice product... Mic need to improv but im satisfied with this👍
Flipkart Customer,4,Wonderful,Pros_1) very good for music.          2) value for money product.          3) Primium design and decent battery backup.Cons_1)Not good for calling.           2) Absence of noise cancellation.I'm giving this review after a month of use as I have experienced....😊Note_The delivery guy was so humble...👏
Vishwanath AG,4,Very Good,Simple and superb @ this price range...
M D Arman,5,Mind-blowing purchase,Sound quality A1
Satheesha Mahabala poojari Poojari,4,Good choice,Excellent product I am happy with  product
Gosai  Amit,5,Just wow!,Very cool and Confetable Light weight Quility Good.
Abhijit Nayak,1,Useless product,One side of buds is not working
Flipkart Customer,5,Worth every penny,Sound is very good.. Bass very good.. I am very happy this product
Shabbir Alam,5,Super!,Nyc product
Anup Paswan,5,Excellent,Good product
Sachin Sattigeri,4,Very Good,Fantastic
Jessy Junia,4,Good choice,Nice
